"","Name","year","Adm_Rate","Avg_Price_Pub","Avg_Price_Priv","Grad_Rate","Grad_White","Grad_Black","Grad_Asian","Grad_Hispanic","Grad_Aian","Grad_White_2010","Grad_Black_2010","Grad_Asian_2010","Grad_Hispanic_2010","Grad_Aian_2010","yeartreat","post"
"1","Adelphi University",1997,NA,NA,NA,0.4873,0.522,0.4762,0.1538,0.4444,NA,0.522,0.4762,0.1538,0.4444,NA,NA,0
"2","Adelphi University",1998,NA,NA,NA,0.5329,0.5333,0.4688,0.5,0.3043,NA,0.5333,0.4688,0.5,0.3043,NA,NA,0
"3","Adelphi University",1999,NA,NA,NA,0.5314,0.5936,0.4722,0.44,0.4167,0.5,0.5936,0.4722,0.44,0.4167,0.5,NA,0
"4","Adelphi University",2000,NA,NA,NA,0.5451,0.6076,0.4324,0.4667,0.575,0,0.6076,0.4324,0.4667,0.575,0,NA,0
"5","Adelphi University",2001,NA,NA,NA,0.6104,0.6991,0.473,0.625,0.54,0.5,0.6991,0.473,0.625,0.54,0.5,NA,0
"6","Adelphi University",2002,0.6832,NA,NA,0.6265,0.6783,0.5224,0.5,0.5439,0,0.6783,0.5224,0.5,0.5439,0,NA,0
"7","Adelphi University",2003,0.701,NA,NA,0.6351,0.6932,0.5,0.6765,0.4655,NA,0.6932,0.5,0.6765,0.4655,NA,NA,0
"8","Adelphi University",2004,0.7054,NA,NA,0.6192,0.6608,0.5495,0.5472,0.6316,NA,0.6608,0.5495,0.5472,0.6316,NA,NA,0
"9","Adelphi University",2005,0.7025,NA,NA,0.6779,0.7548,0.5781,0.6,0.6129,1,0.7548,0.5781,0.6,0.6129,1,NA,0
"10","Adelphi University",2006,0.6821,NA,NA,0.6552,0.6972,0.5455,0.6944,0.5672,NA,NA,NA,NA,NA,NA,NA,0
"11","Adelphi University",2007,0.6769,NA,NA,0.6598,0.7172,0.5204,0.6596,0.5714,1,NA,NA,NA,NA,NA,NA,0
"12","Adelphi University",2008,0.6886,NA,NA,0.6251,0.675,0.4625,0.6885,0.5106,0.3333,NA,NA,NA,NA,NA,NA,0
"13","Adelphi University",2009,0.6629,NA,NA,0.6398,0.6986,0.5405,0.5273,0.6346,0,NA,NA,NA,NA,NA,NA,0
"14","Adelphi University",2010,0.6974,NA,23487,0.6701,0.721,0.5474,0.6184,0.5747,0.5,NA,NA,NA,NA,NA,NA,0
"15","Adelphi University",2011,0.6959,NA,23982,0.6821,0.7074,0.5612,0.806,0.6186,0.5,NA,NA,NA,NA,NA,NA,0
"16","Adelphi University",2012,0.6922,NA,26372,0.6752,0.7165,0.5281,0.7353,0.5878,0,NA,NA,NA,NA,NA,NA,0
"17","Adelphi University",2013,0.6646,NA,25678,0.7018,0.7357,0.5806,0.7879,0.6452,0.5,NA,NA,NA,NA,NA,NA,0
"18","Adelphi University",2014,0.6814,NA,32781,0.7342,0.7648,0.6579,0.7051,0.7068,NA,NA,NA,NA,NA,NA,NA,0
"19","Agnes Scott College",1997,NA,NA,NA,0.7186,0.7305,0.7353,0.6364,0.5,NA,0.7305,0.7353,0.6364,0.5,NA,2011,0
"20","Agnes Scott College",1998,NA,NA,NA,0.6526,0.6719,0.5926,0.5,0.2,NA,0.6719,0.5926,0.5,0.2,NA,2011,0
"21","Agnes Scott College",1999,NA,NA,NA,0.7171,0.7197,0.7179,0.8,0.75,NA,0.7197,0.7179,0.8,0.75,NA,2011,0
"22","Agnes Scott College",2000,NA,NA,NA,0.6556,0.6341,0.7174,0.5385,0.8571,NA,0.6341,0.7174,0.5385,0.8571,NA,2011,0
"23","Agnes Scott College",2001,NA,NA,NA,0.6693,0.649,0.7885,0.6923,0.7692,0,0.649,0.7885,0.6923,0.7692,0,2011,0
"24","Agnes Scott College",2002,0.7405,NA,NA,0.6906,0.6899,0.6977,0.5,0.625,0,0.6899,0.6977,0.5,0.625,0,2011,0
"25","Agnes Scott College",2003,0.7349,NA,NA,0.7051,0.6812,0.6842,0.7333,0.75,0,0.6812,0.6842,0.7333,0.75,0,2011,0
"26","Agnes Scott College",2004,0.6573,NA,NA,0.6651,0.6034,0.8611,0.5714,0.7143,NA,0.6034,0.8611,0.5714,0.7143,NA,2011,0
"27","Agnes Scott College",2005,0.5919,NA,NA,0.6822,0.6934,0.6462,0.5385,0.7857,0,0.6934,0.6462,0.5385,0.7857,0,2011,0
"28","Agnes Scott College",2006,0.5341,NA,NA,0.6463,0.6071,0.5758,0.7143,0.6667,NA,NA,NA,NA,NA,NA,2011,0
"29","Agnes Scott College",2007,0.4744,NA,NA,0.6351,0.6316,0.6341,0.5833,0.7143,NA,NA,NA,NA,NA,NA,2011,0
"30","Agnes Scott College",2008,0.452,NA,NA,0.7202,0.6847,0.8269,0.5385,0.6667,0,NA,NA,NA,NA,NA,2011,0
"31","Agnes Scott College",2009,0.479,NA,NA,0.7333,0.7475,0.7273,0.875,0.5714,NA,NA,NA,NA,NA,NA,2011,0
"32","Agnes Scott College",2010,0.4627,NA,16841,0.6765,0.6538,0.7077,0.5,0.7059,0,NA,NA,NA,NA,NA,2011,0
"33","Agnes Scott College",2011,0.4606,NA,17101,0.6978,0.6211,0.7241,0.8333,0.7895,NA,NA,NA,NA,NA,NA,2011,1
"34","Agnes Scott College",2012,0.4588,NA,16473,0.6623,0.6667,0.6711,0.7143,0.55,NA,NA,NA,NA,NA,NA,2011,1
"35","Agnes Scott College",2013,0.6197,NA,18924,0.694,0.6944,0.6747,0.5,0.6667,NA,NA,NA,NA,NA,NA,2011,1
"36","Agnes Scott College",2014,0.6687,NA,18635,0.7302,0.7,0.7317,0.7647,0.72,NA,NA,NA,NA,NA,NA,2011,1
"37","Albion College",1997,NA,NA,NA,0.6836,0.7039,0.6667,0.3333,1,1,0.7039,0.6667,0.3333,1,1,NA,0
"38","Albion College",1998,NA,NA,NA,0.6857,0.7008,0.5217,0.8333,1,NA,0.7008,0.5217,0.8333,1,NA,NA,0
"39","Albion College",1999,NA,NA,NA,0.7054,0.7368,0.3333,0.5385,0.2,0,0.7368,0.3333,0.5385,0.2,0,NA,0
"40","Albion College",2000,NA,NA,NA,0.7178,0.7362,0.7143,0.5,0.5,1,0.7362,0.7143,0.5,0.5,1,NA,0
"41","Albion College",2001,NA,NA,NA,0.7432,0.7652,0.75,0.6,0.2,NA,0.7652,0.75,0.6,0.2,NA,NA,0
"42","Albion College",2002,0.8689,NA,NA,0.7067,0.7154,0.25,0.625,0.4286,NA,0.7154,0.25,0.625,0.4286,NA,NA,0
"43","Albion College",2003,0.8524,NA,NA,0.7257,0.7246,0.6667,0.6,0.25,0.6667,0.7246,0.6667,0.6,0.25,0.6667,NA,0
"44","Albion College",2004,0.8683,NA,NA,0.7428,0.7607,0.4615,0.7143,0.5,0,0.7607,0.4615,0.7143,0.5,0,NA,0
"45","Albion College",2005,0.8581,NA,NA,0.7352,0.7592,0.5152,0.5,1,NA,0.7592,0.5152,0.5,1,NA,NA,0
"46","Albion College",2006,0.8186,NA,NA,0.683,0.6914,0.5238,0.5833,1,1,NA,NA,NA,NA,NA,NA,0
"47","Albion College",2007,0.8139,NA,NA,0.7167,0.724,0.5,0.7143,1,1,NA,NA,NA,NA,NA,NA,0
